Date,Forecast,Lower CI,Upper CI
2025-11-29,5.33314045500783,5.248365813878871,5.417915096136789
2025-11-30,5.334364248759762,5.208103511533302,5.460624985986222
2025-12-01,5.335240906904877,5.180924685049408,5.489557128760346
2025-12-02,5.335868896304384,5.15956991523673,5.512167877372038
2025-12-03,5.3363187531705885,5.141558936263142,5.5310785700780345
2025-12-04,5.336641005744007,5.125715024429199,5.547566987058816
2025-12-05,5.336871849660987,5.111387669054396,5.562356030267579
2025-12-06,5.33703721347311,5.098182474923783,5.575891952022436
2025-12-07,5.337155670960391,5.0858445037683015,5.588466838152481
2025-12-08,5.337240527351357,5.074200721768924,5.60028033293379
2025-12-09,5.337301313775693,5.063128930339385,5.611473697212
2025-12-10,5.337344857807457,5.05253986507945,5.622149850535464
2025-12-11,5.3373760503430105,5.042366359472655,5.632385741213366
2025-12-12,5.337398394949948,5.032556524293953,5.642240265605943
2025-12-13,5.337414401390282,5.023069315303544,5.65175948747702
2025-12-14,5.3374258675186805,5.013871573959987,5.660980161077374
2025-12-15,5.337434081218773,5.004936004266356,5.66993215817119
2025-12-16,5.337439965059148,4.996239759776031,5.678640170342265
2025-12-17,5.337444179916905,4.987763437092017,5.687124922741793
2025-12-18,5.337447199207841,4.979490345494146,5.695404052921536
2025-12-19,5.337449362060845,4.971405967492033,5.7034927566296565
2025-12-20,5.33745091140909,4.963497553590968,5.711404269227212
2025-12-21,5.337452021276465,4.95575381289611,5.71915022965682
2025-12-22,5.337452816324056,4.948164673194545,5.726740959453568
2025-12-23,5.337453385852169,4.9407210921500475,5.73418567955429
2025-12-24,5.337453793830604,4.933414906642092,5.741492681019116
2025-12-25,5.337454086083786,4.926238710971143,5.748669461196428
2025-12-26,5.337454295437798,4.919185757207361,5.7557228336682345
2025-12-27,5.337454445407431,4.912249872749527,5.762659018065335
2025-12-28,5.3374545528373805,4.905425391429133,5.769483714245628
2025-12-29,5.337454629794253,4.898707095403159,5.776202164185348
2025-12-30,5.3374546849219,4.892090165737294,5.782819204106506
2025-12-31,5.337454724412296,4.885570140063556,5.789339308761035
