,horizon,mse,rmse,mae,mape,mdape,smape,coverage
32,38 days,0.052354641541980204,0.2288113667237277,0.20641146437115063,0.03837102090281402,0.040081768752107054,0.03848130022945478,0.2916666666666667
33,39 days,0.05723292416022903,0.23923403637490429,0.21797350042460267,0.040741405270431,0.04432725428378835,0.040886861374153566,0.28125
34,40 days,0.061967439297134067,0.24893259990835687,0.22911075920508223,0.043005744371813565,0.046767047686221,0.043342731372772066,0.22916666666666669
35,41 days,0.05941595852142428,0.24375388924368832,0.22296970074892017,0.041703052847054334,0.04432725428378835,0.04201364850896366,0.25
36,42 days,0.06088305321835281,0.24674491528368483,0.2264292660053841,0.04223120819830353,0.0432110512357447,0.04235163113501203,0.25
37,43 days,0.06603769691249278,0.2569780086164822,0.2348969973959752,0.04392677530901994,0.04527477996535274,0.0439774009757322,0.25
38,44 days,0.06989929605019682,0.2643847500333497,0.24273004239349255,0.04545837945382204,0.04527477996535274,0.04542765769819503,0.1875
39,45 days,0.07605077474154731,0.2757730493386678,0.2496041101321851,0.046844871554406024,0.05038734499877358,0.04679351995281718,0.1875
40,46 days,0.08504962457277844,0.29163268776455503,0.2633413255907398,0.0496069059567357,0.06276010686702746,0.049507459359364236,0.1875
41,47 days,0.09468457763198013,0.30770859206720264,0.2817265458219681,0.05332295958362516,0.0666550263807218,0.05345155738022393,0.125
42,48 days,0.08732101510855178,0.2955012945970826,0.26292063817958117,0.04973176947401485,0.0666550263807218,0.04999551577041757,0.1875
43,49 days,0.07953323547564764,0.2820163744814255,0.24359138535497676,0.04584705468490991,0.049164448211676794,0.04597443819261024,0.25
44,50 days,0.08528234767473525,0.2920314155612975,0.2524237306366625,0.04743281473825578,0.04957127433045554,0.04764368406859609,0.25
45,51 days,0.08822922936545459,0.29703405421845924,0.26142274890941575,0.049011472898168734,0.04957127433045554,0.049245589365465484,0.25
46,52 days,0.09092662612244529,0.3015404220373204,0.2603255094568535,0.04881391305858314,0.04957127433045554,0.04929016078305892,0.2708333333333333
47,53 days,0.08443404411066711,0.29057536735013706,0.24606177392171497,0.045992118538782926,0.046210866782240886,0.046246586833428534,0.3125
48,54 days,0.09665362114466546,0.3108916549936094,0.2604296624448762,0.04879032465627048,0.046210866782240886,0.04931087238904262,0.3125
49,55 days,0.09449124828089743,0.3073942879770173,0.25986395250444294,0.04839829531489711,0.034716860340451836,0.04904051378446096,0.2708333333333333
50,56 days,0.08926101244581887,0.29876581539028,0.2535026923530102,0.04669407712558764,0.040613515831739444,0.04726505758674729,0.3125
51,57 days,0.09660583202214892,0.31081478732864193,0.2618735477636547,0.048159184035454966,0.040613515831739444,0.0488508258623646,0.2708333333333333
52,58 days,0.1062873164798568,0.3260173561021818,0.278559628854944,0.051096065650253736,0.040613515831739444,0.05172023327872056,0.25
53,59 days,0.13129643654888634,0.3623485015132343,0.32169414288015064,0.05892803745091622,0.05439317153344486,0.05988707536394481,0.16666666666666666
54,60 days,0.1542735717023908,0.3927767453686519,0.3593023149058786,0.06589460011473436,0.06465612286376758,0.06695074182243337,0.125
