ds,yhat,yhat_lower,yhat_upper
2020-11-30,5.079365545433524,4.954905101199545,5.21125990189274
2020-12-01,5.086166813853498,4.9545388215519175,5.210080236881988
2020-12-02,5.094670221317881,4.968288769553612,5.224040557094606
2020-12-03,5.099453652975208,4.980528033052242,5.218145656825396
2020-12-04,5.109035424735968,4.983516619936055,5.246600633638933
2020-12-07,5.1373289828226785,5.005698400571892,5.271476999631662
2020-12-08,5.14222881213693,5.024532145648816,5.266295812016916
2020-12-09,5.1490575889887715,5.022769888531264,5.2801023563824385
2020-12-10,5.152420457288676,5.027818702301359,5.2797347758210496
2020-12-11,5.16085306406297,5.037499474329596,5.2886219726863235
2020-12-14,5.1873516889227975,5.06161852853094,5.316162796522349
2020-12-15,5.192164903542937,5.0611325162488665,5.314115036494403
2020-12-16,5.199122155590735,5.0802276698543025,5.330063801772813
2020-12-17,5.202793495318993,5.069972953169223,5.327019095289485
2020-12-18,5.211674091382138,5.089562519935688,5.330401315907753
2020-12-21,5.23989784865837,5.1207005275773945,5.368038052880253
2020-12-22,5.245254438294395,5.113323443639721,5.3735458992721865
2020-12-23,5.252661611628822,5.131983527364227,5.375786009748783
2020-12-24,5.2566467874761456,5.128365139482527,5.379779419943321
2020-12-28,5.292965401193236,5.165526889641886,5.41771556776374
2020-12-29,5.297499942597514,5.163147541599308,5.421354706585284
2020-12-30,5.303813473539437,5.18226575057979,5.439594972210067
2020-12-31,5.306435657851129,5.186439361025814,5.432484921741128
2021-01-04,5.334893450425328,5.206046507647197,5.458945473161812
2021-01-05,5.336982979287934,5.215339890321164,5.469694273523233
2021-01-06,5.340724336117699,5.215421254549334,5.468166825743137
2021-01-07,5.3406846836739525,5.210147050632041,5.468715297023043
2021-01-08,5.345369011628616,5.217990856778659,5.467187589555798
2021-01-11,5.358368236261321,5.23176998503891,5.4817382307479265
2021-01-12,5.35791549603336,5.228771924964562,5.4865547748928565
2021-01-13,5.359239483253538,5.226070894350996,5.479109429823001
2021-01-14,5.3569331124828095,5.23101834913408,5.486197887538096
2021-01-15,5.359522638462737,5.232488524359706,5.496724513389183
2021-01-18,5.367410086947173,5.239150103921832,5.492299660792249
2021-01-19,5.36566766680284,5.241063440210402,5.489379023106782
2021-01-20,5.365909765615723,5.235739598792267,5.49017172591761
2021-01-21,5.362723975576089,5.243750523651891,5.491892329223654
